,n_iter,loss,acc,dataset
0,8,2.3082523345947266,0.0390625,train
1,15,2.297515630722046,0.046875,train
2,22,2.320482015609741,0.1171875,train
3,29,2.3636999130249023,0.109375,train
4,36,2.269904851913452,0.1484375,train
5,39,174.9810333251953,0.109,val
6,43,2.2868425846099854,0.09375,train
7,50,2.3003733158111572,0.1171875,train
8,57,2.2977380752563477,0.1640625,train
9,64,2.2357594966888428,0.1328125,train
10,71,2.254513740539551,0.171875,train
11,78,2.295018434524536,0.1171875,train
12,78,2.2899319171905517,0.1652,val
13,85,2.194584369659424,0.25,train
14,92,2.275725841522217,0.1015625,train
15,99,2.2377965450286865,0.125,train
16,106,2.266448497772217,0.2265625,train
17,113,2.279985189437866,0.0390625,train
18,117,2.221248006820679,0.1668,val
19,120,2.170368194580078,0.1796875,train
20,127,2.211472511291504,0.1484375,train
21,134,2.180694103240967,0.1953125,train
22,141,2.1125025749206543,0.1875,train
23,148,2.2140822410583496,0.1328125,train
24,155,2.244636058807373,0.1796875,train
25,156,2.2835058689117433,0.117,val
26,162,2.259877920150757,0.1875,train
27,169,2.261035203933716,0.125,train
28,176,2.201251268386841,0.1484375,train
29,183,2.245711088180542,0.1640625,train
30,190,2.236825704574585,0.1171875,train
31,195,2.2991480827331543,0.125,val
32,197,2.1946537494659424,0.1875,train
33,204,2.1457393169403076,0.1796875,train
34,211,2.1265647411346436,0.125,train
35,218,2.2049903869628906,0.1640625,train
36,225,2.105360746383667,0.1875,train
37,232,2.2114927768707275,0.125,train
38,234,2.201374578475952,0.1662,val
39,239,2.154595375061035,0.2265625,train
40,246,2.1032731533050537,0.1796875,train
41,253,2.11844801902771,0.1953125,train
42,260,2.2108206748962402,0.1484375,train
43,267,1.9846489429473877,0.2421875,train
44,273,2.154449462890625,0.1852,val
45,274,2.063044309616089,0.234375,train
46,281,2.2300989627838135,0.15625,train
47,288,2.105722427368164,0.2109375,train
48,295,2.247217893600464,0.1328125,train
49,302,2.1395492553710938,0.1796875,train
50,309,2.1277732849121094,0.21875,train
51,312,2.2053757667541505,0.1688,val
52,316,2.0611746311187744,0.2109375,train
53,323,2.101404905319214,0.15625,train
54,330,2.032000780105591,0.171875,train
55,337,2.0161142349243164,0.171875,train
56,344,2.020498752593994,0.171875,train
57,351,2.04026460647583,0.171875,train
58,351,2.0334203243255615,0.2024,val
0,359,2.1116950511932373,0.1796875,train
1,366,2.1278669834136963,0.140625,train
2,373,2.024329662322998,0.2421875,train
3,380,2.113253355026245,0.1640625,train
4,387,2.0311050415039062,0.21875,train
5,390,2.0416996479034424,0.1924,val
6,394,1.988608717918396,0.234375,train
7,401,2.097212076187134,0.203125,train
8,408,2.1374614238739014,0.2109375,train
9,415,2.051826238632202,0.2109375,train
10,422,2.0566086769104004,0.2578125,train
11,429,2.1202900409698486,0.1796875,train
12,429,2.070444440841675,0.1998,val
13,436,2.0267796516418457,0.140625,train
14,443,2.0616214275360107,0.1875,train
15,450,1.9883840084075928,0.234375,train
16,457,2.022630214691162,0.2109375,train
17,464,2.084043025970459,0.1875,train
18,468,2.0574823379516602,0.207,val
19,471,2.067392587661743,0.2578125,train
20,478,2.073439836502075,0.2578125,train
21,485,2.119235038757324,0.2421875,train
22,492,2.0249640941619873,0.21875,train
23,499,2.0963501930236816,0.203125,train
24,506,2.093261241912842,0.1796875,train
25,507,2.013728928565979,0.2118,val
26,513,1.99397873878479,0.1953125,train
27,520,2.1542153358459473,0.109375,train
28,527,1.9486708641052246,0.25,train
29,534,2.160512924194336,0.1796875,train
30,541,2.1038475036621094,0.1640625,train
31,546,2.0282097339630125,0.1902,val
32,548,2.0845539569854736,0.1875,train
33,555,2.1281864643096924,0.15625,train
34,562,2.0235509872436523,0.2265625,train
35,569,2.173295497894287,0.2578125,train
36,576,2.0067129135131836,0.1640625,train
37,583,2.056180477142334,0.1875,train
38,585,2.006026005744934,0.2264,val
39,590,1.9734978675842285,0.1796875,train
40,597,2.0555896759033203,0.25,train
41,604,2.0087544918060303,0.234375,train
42,611,2.030820608139038,0.2578125,train
43,618,1.9953378438949585,0.2109375,train
44,624,2.128236436843872,0.1762,val
45,625,2.045316219329834,0.1796875,train
46,632,1.9955263137817383,0.265625,train
47,639,1.9477181434631348,0.25,train
48,646,1.9694130420684814,0.2421875,train
49,653,1.9906280040740967,0.2265625,train
50,660,1.9985557794570923,0.2734375,train
51,663,2.0637598037719727,0.2136,val
52,667,1.9907586574554443,0.2421875,train
53,674,1.9819867610931396,0.3046875,train
54,681,2.015171766281128,0.2421875,train
55,688,1.9521465301513672,0.21875,train
56,695,2.015171766281128,0.203125,train
57,702,2.067739486694336,0.171875,train
58,702,2.0044312953948973,0.2054,val
0,710,2.0279085636138916,0.2109375,train
1,717,1.9766769409179688,0.15625,train
2,724,1.9997166395187378,0.2421875,train
3,731,2.010185480117798,0.1953125,train
4,738,2.0225443840026855,0.2109375,train
5,741,1.988472294807434,0.2414,val
6,745,1.9910659790039062,0.2734375,train
7,752,1.9785875082015991,0.2734375,train
8,759,2.051199436187744,0.234375,train
9,766,1.9286450147628784,0.265625,train
10,773,1.9393936395645142,0.2578125,train
11,780,1.9493752717971802,0.3125,train
12,780,1.958245849609375,0.2534,val
13,787,1.9018853902816772,0.2578125,train
14,794,1.9442882537841797,0.2421875,train
15,801,1.941772222518921,0.2890625,train
16,808,2.0187270641326904,0.171875,train
17,815,2.0517804622650146,0.171875,train
18,819,1.9295286655426025,0.2388,val
19,822,2.00738525390625,0.2578125,train
20,829,2.0578763484954834,0.21875,train
21,836,2.0510261058807373,0.1953125,train
22,843,1.9219290018081665,0.2734375,train
23,850,2.001866579055786,0.265625,train
24,857,2.0413074493408203,0.1875,train
25,858,1.9322362422943116,0.2598,val
26,864,2.0145955085754395,0.296875,train
27,871,1.9434839487075806,0.21875,train
28,878,2.0531091690063477,0.1953125,train
29,885,1.9068666696548462,0.3046875,train
30,892,1.894625186920166,0.265625,train
31,897,2.025324583053589,0.2382,val
32,899,1.9233217239379883,0.265625,train
33,906,1.874098539352417,0.2421875,train
34,913,1.8533700704574585,0.234375,train
35,920,1.8800249099731445,0.25,train
36,927,1.849767804145813,0.3203125,train
37,934,1.9414596557617188,0.25,train
38,936,1.9037335395812989,0.2662,val
39,941,1.9843934774398804,0.265625,train
40,948,1.938646674156189,0.21875,train
41,955,1.881428599357605,0.2265625,train
42,962,1.8440301418304443,0.2890625,train
43,969,1.9215785264968872,0.2578125,train
44,975,1.892196774482727,0.2722,val
45,976,1.9716801643371582,0.296875,train
46,983,1.9571924209594727,0.1953125,train
47,990,2.0445642471313477,0.2265625,train
48,997,1.9231503009796143,0.2109375,train
49,1004,1.956390142440796,0.2890625,train
50,1011,1.894726276397705,0.28125,train
51,1014,1.8719221115112306,0.2886,val
52,1018,2.0606696605682373,0.2578125,train
53,1025,2.020611047744751,0.1953125,train
54,1032,1.9823002815246582,0.2109375,train
55,1039,1.8477585315704346,0.2890625,train
56,1046,1.883231520652771,0.296875,train
57,1053,1.8703668117523193,0.34375,train
58,1053,1.9583557844161987,0.2544,val
0,1061,1.9677331447601318,0.203125,train
1,1068,1.8458846807479858,0.1953125,train
2,1075,1.8230949640274048,0.34375,train
3,1082,1.8593467473983765,0.28125,train
4,1089,1.8156278133392334,0.328125,train
5,1092,1.8883538484573363,0.2866,val
6,1096,1.8881832361221313,0.3046875,train
7,1103,1.881212830543518,0.328125,train
8,1110,1.8415782451629639,0.3203125,train
9,1117,1.8665581941604614,0.21875,train
10,1124,1.8772752285003662,0.2734375,train
11,1131,1.977260708808899,0.2421875,train
12,1131,1.8687827348709107,0.2804,val
13,1138,2.018990993499756,0.2734375,train
14,1145,1.9314875602722168,0.3046875,train
15,1152,1.901559591293335,0.234375,train
16,1159,1.8317841291427612,0.265625,train
17,1166,1.8502377271652222,0.3046875,train
18,1170,1.8649081468582154,0.3036,val
19,1173,1.8795804977416992,0.265625,train
20,1180,1.8615399599075317,0.2734375,train
21,1187,1.876921534538269,0.3125,train
22,1194,1.8968396186828613,0.265625,train
23,1201,1.8735125064849854,0.3125,train
24,1208,1.8411931991577148,0.28125,train
25,1209,1.8483879327774049,0.283,val
26,1215,1.8923461437225342,0.328125,train
27,1222,1.8821690082550049,0.265625,train
28,1229,1.842158555984497,0.2734375,train
29,1236,1.9011324644088745,0.2578125,train
30,1243,1.8326488733291626,0.25,train
31,1248,1.860215950012207,0.2866,val
32,1250,1.8874558210372925,0.3125,train
33,1257,1.9719324111938477,0.234375,train
34,1264,1.8535079956054688,0.28125,train
35,1271,1.9194215536117554,0.28125,train
36,1278,1.913521409034729,0.2734375,train
37,1285,1.9191956520080566,0.25,train
38,1287,1.9010111808776855,0.289,val
39,1292,1.8707575798034668,0.2890625,train
40,1299,1.8720673322677612,0.28125,train
41,1306,1.752760887145996,0.34375,train
42,1313,1.9827053546905518,0.25,train
43,1320,1.8002727031707764,0.3125,train
44,1326,1.818824863433838,0.333,val
45,1327,1.9050779342651367,0.328125,train
46,1334,1.9021339416503906,0.2734375,train
47,1341,1.7589470148086548,0.359375,train
48,1348,1.7476037740707397,0.328125,train
49,1355,1.8417199850082397,0.296875,train
50,1362,1.7874059677124023,0.375,train
51,1365,1.7972790956497193,0.315,val
52,1369,1.8929318189620972,0.2578125,train
53,1376,1.8788772821426392,0.296875,train
54,1383,1.8943500518798828,0.2890625,train
55,1390,1.9794342517852783,0.2734375,train
56,1397,1.8642244338989258,0.28125,train
57,1404,1.8288390636444092,0.296875,train
58,1404,1.8420630931854247,0.328,val
0,1412,1.8391720056533813,0.21875,train
1,1419,1.791772484779358,0.2890625,train
2,1426,1.9744138717651367,0.2421875,train
3,1433,2.040334701538086,0.2578125,train
4,1440,1.8193447589874268,0.3671875,train
5,1443,1.891831636428833,0.299,val
6,1447,1.8482329845428467,0.2734375,train
7,1454,1.7296849489212036,0.4140625,train
8,1461,2.0089478492736816,0.3125,train
9,1468,1.8989583253860474,0.234375,train
10,1475,1.8088535070419312,0.34375,train
11,1482,1.9188737869262695,0.296875,train
12,1482,1.796173906326294,0.332,val
13,1489,1.8984030485153198,0.3203125,train
14,1496,1.9342169761657715,0.3125,train
15,1503,1.7678234577178955,0.28125,train
16,1510,1.9489388465881348,0.2578125,train
17,1517,1.8000789880752563,0.3203125,train
18,1521,1.8131709814071655,0.3306,val
19,1524,1.9100492000579834,0.265625,train
20,1531,1.6821088790893555,0.3984375,train
21,1538,1.6954957246780396,0.3125,train
22,1545,1.6963577270507812,0.3125,train
23,1552,1.816114068031311,0.2890625,train
24,1559,1.7619481086730957,0.3359375,train
25,1560,1.7755232572555542,0.3344,val
26,1566,1.8972235918045044,0.3203125,train
27,1573,1.9169807434082031,0.328125,train
28,1580,1.8106660842895508,0.3515625,train
29,1587,1.816307783126831,0.3046875,train
30,1594,1.7672765254974365,0.328125,train
31,1599,1.806636142730713,0.3354,val
32,1601,1.759739637374878,0.3125,train
33,1608,1.794887900352478,0.3125,train
34,1615,1.8202028274536133,0.328125,train
35,1622,1.792133092880249,0.3515625,train
36,1629,1.7346458435058594,0.359375,train
37,1636,1.7652466297149658,0.328125,train
38,1638,1.774562907218933,0.3474,val
39,1643,1.8546472787857056,0.3046875,train
40,1650,1.788496732711792,0.2890625,train
41,1657,1.7708537578582764,0.3046875,train
42,1664,1.8948744535446167,0.328125,train
43,1671,1.7499372959136963,0.390625,train
44,1677,1.751451802253723,0.3554,val
45,1678,1.869341492652893,0.3125,train
46,1685,1.7634665966033936,0.3046875,train
47,1692,1.726526141166687,0.375,train
48,1699,2.044029712677002,0.3203125,train
49,1706,1.6816518306732178,0.375,train
50,1713,1.7164932489395142,0.375,train
51,1716,1.7880573749542237,0.3408,val
52,1720,1.8480665683746338,0.28125,train
53,1727,1.9201427698135376,0.2890625,train
54,1734,1.841705083847046,0.2890625,train
55,1741,1.8297566175460815,0.3046875,train
56,1748,1.9898773431777954,0.25,train
57,1755,1.8529796600341797,0.34375,train
58,1755,1.7391160488128663,0.3496,val
0,1763,1.881367802619934,0.3046875,train
1,1770,1.7928189039230347,0.328125,train
2,1777,1.8180047273635864,0.3203125,train
3,1784,1.7802480459213257,0.3515625,train
4,1791,1.8771525621414185,0.296875,train
5,1794,1.7479098796844483,0.3542,val
6,1798,1.7650697231292725,0.359375,train
7,1805,1.7551345825195312,0.390625,train
8,1812,1.792923927307129,0.3359375,train
9,1819,1.8028265237808228,0.3046875,train
10,1826,1.7609992027282715,0.3671875,train
11,1833,1.9171409606933594,0.3359375,train
12,1833,1.7255287647247315,0.362,val
13,1840,1.7507257461547852,0.3828125,train
14,1847,1.6852710247039795,0.2734375,train
15,1854,1.8116532564163208,0.2578125,train
16,1861,1.7283174991607666,0.3359375,train
17,1868,1.6441899538040161,0.421875,train
18,1872,1.7412861585617065,0.3564,val
19,1875,1.7681430578231812,0.3828125,train
20,1882,1.7002248764038086,0.3359375,train
21,1889,1.813666582107544,0.359375,train
22,1896,1.8165664672851562,0.3046875,train
23,1903,1.874741554260254,0.328125,train
24,1910,1.7129361629486084,0.3671875,train
25,1911,1.73632755279541,0.3492,val
26,1917,1.7442065477371216,0.3828125,train
27,1924,1.8681888580322266,0.3125,train
28,1931,1.692548394203186,0.34375,train
29,1938,1.7170697450637817,0.375,train
30,1945,1.6906383037567139,0.3671875,train
31,1950,1.7218218326568604,0.359,val
32,1952,1.7487869262695312,0.421875,train
33,1959,1.7528218030929565,0.375,train
34,1966,1.7981497049331665,0.3125,train
35,1973,1.695839285850525,0.3984375,train
36,1980,1.7042794227600098,0.3671875,train
37,1987,1.6628304719924927,0.3984375,train
38,1989,1.7675710678100587,0.3556,val
39,1994,1.8388209342956543,0.3671875,train
40,2001,1.7591420412063599,0.3125,train
41,2008,1.7118256092071533,0.2890625,train
42,2015,1.705346703529358,0.3671875,train
43,2022,1.7353156805038452,0.3671875,train
44,2028,1.760727310180664,0.3622,val
45,2029,1.809739589691162,0.34375,train
46,2036,1.819965124130249,0.3515625,train
47,2043,1.8126989603042603,0.296875,train
48,2050,1.7689971923828125,0.3828125,train
49,2057,1.6926519870758057,0.359375,train
50,2064,1.9168542623519897,0.328125,train
51,2067,1.789851760864258,0.3474,val
52,2071,1.80975341796875,0.34375,train
53,2078,1.6745283603668213,0.390625,train
54,2085,1.6854897737503052,0.3359375,train
55,2092,1.6974605321884155,0.3984375,train
56,2099,1.8146616220474243,0.3125,train
57,2106,1.7524701356887817,0.3359375,train
58,2106,1.7663060426712036,0.3398,val
