,Unnamed: 0,n_iter,loss,acc,dataset
0,0.0,8,2.3452811241149902,0.1875,train
1,1.0,15,2.7094626426696777,0.1640625,train
2,2.0,22,2.385103702545166,0.2109375,train
3,3.0,29,2.3189663887023926,0.2578125,train
4,4.0,36,2.151334524154663,0.2734375,train
5,5.0,39,2.2486198425292967,0.1828,val
6,6.0,43,2.0471529960632324,0.2890625,train
7,7.0,50,2.014710664749145,0.234375,train
8,8.0,57,2.044755458831787,0.2109375,train
9,9.0,64,1.9007123708724976,0.296875,train
10,10.0,71,1.8790216445922847,0.296875,train
11,11.0,78,1.9034645557403564,0.1875,train
12,12.0,78,1.94913489818573,0.259,val
13,13.0,85,1.9426145553588867,0.2421875,train
14,14.0,92,1.7589232921600342,0.28125,train
15,15.0,99,1.8987208604812624,0.28125,train
16,16.0,106,1.755369782447815,0.34375,train
17,17.0,113,1.8326905965805051,0.359375,train
18,18.0,117,1.8401732921600344,0.3212,val
19,19.0,120,1.7576079368591309,0.3203125,train
20,20.0,127,1.866371154785156,0.296875,train
21,21.0,134,1.7300961017608645,0.3515625,train
22,22.0,141,1.8777570724487305,0.2734375,train
23,23.0,148,1.676241159439087,0.2890625,train
24,24.0,155,1.753883957862854,0.3046875,train
25,25.0,156,1.7572967529296877,0.3498,val
26,26.0,162,1.9227272272109983,0.2265625,train
27,27.0,169,1.9520542621612549,0.3203125,train
28,28.0,176,1.8027304410934448,0.3046875,train
29,29.0,183,1.758985996246338,0.3125,train
30,30.0,190,1.7883833646774292,0.2734375,train
31,31.0,195,1.7385937929153443,0.3422,val
32,32.0,197,1.6307284832000732,0.3984375,train
33,33.0,204,1.6640114784240725,0.3828125,train
34,34.0,211,1.6573505401611328,0.34375,train
35,35.0,218,1.589397668838501,0.3828125,train
36,36.0,225,1.7729771137237549,0.3359375,train
37,37.0,232,1.52079975605011,0.453125,train
38,38.0,234,1.7037951231002808,0.3472,val
39,39.0,239,1.6991230249404907,0.4140625,train
40,40.0,246,1.66450035572052,0.3046875,train
41,41.0,253,1.765434980392456,0.3359375,train
42,42.0,260,1.687805414199829,0.359375,train
43,43.0,267,1.586146354675293,0.453125,train
44,44.0,273,1.6717785596847534,0.4028,val
45,45.0,274,1.5953140258789062,0.375,train
46,46.0,281,1.6626195907592771,0.3046875,train
47,47.0,288,1.8613176345825195,0.34375,train
48,48.0,295,1.683223843574524,0.3984375,train
49,49.0,302,1.6431634426116943,0.375,train
50,50.0,309,1.776763081550598,0.34375,train
51,51.0,312,1.6158230543136596,0.3982,val
52,52.0,316,1.5610724687576294,0.4296875,train
53,53.0,323,1.6142845153808594,0.40625,train
54,54.0,330,1.69148051738739,0.3515625,train
55,55.0,337,1.7373268604278564,0.28125,train
56,56.0,344,1.681605339050293,0.34375,train
57,57.0,351,1.464263677597046,0.4765625,train
58,58.0,351,1.608306360244751,0.4026,val
59,0.0,359,1.634469509124756,0.3671875,train
60,1.0,366,1.6198753118515017,0.421875,train
61,2.0,373,1.6801563501358032,0.4375,train
62,3.0,380,1.6762652397155762,0.3828125,train
63,4.0,387,1.489846110343933,0.5,train
64,5.0,390,1.5627027988433837,0.4256,val
65,6.0,394,1.4675495624542236,0.484375,train
66,7.0,401,1.552950382232666,0.4453125,train
67,8.0,408,1.6530078649520874,0.3984375,train
68,9.0,415,1.5964347124099731,0.3828125,train
69,10.0,422,1.6837526559829712,0.359375,train
70,11.0,429,1.4701120853424072,0.40625,train
71,12.0,429,1.554146933555603,0.4322,val
72,13.0,436,1.5438936948776243,0.4375,train
73,14.0,443,1.6325092315673828,0.390625,train
74,15.0,450,1.5570573806762695,0.4453125,train
75,16.0,457,1.5535978078842163,0.4453125,train
76,17.0,464,1.4437966346740725,0.53125,train
77,18.0,468,1.4702589511871338,0.452,val
78,19.0,471,1.5457414388656616,0.4375,train
79,20.0,478,1.6816489696502686,0.359375,train
80,21.0,485,1.411728024482727,0.5078125,train
81,22.0,492,1.517790913581848,0.3828125,train
82,23.0,499,1.4833769798278809,0.453125,train
83,24.0,506,1.3859667778015137,0.5,train
84,25.0,507,1.460971212387085,0.4688,val
85,26.0,513,1.492903470993042,0.453125,train
86,27.0,520,1.410313606262207,0.53125,train
87,28.0,527,1.5719352960586548,0.3828125,train
88,29.0,534,1.4383769035339355,0.5,train
89,30.0,541,1.446882963180542,0.515625,train
90,31.0,546,1.4610145568847657,0.469,val
91,32.0,548,1.4931215047836304,0.4609375,train
92,33.0,555,1.4378437995910645,0.40625,train
93,34.0,562,1.433045744895935,0.453125,train
94,35.0,569,1.364895582199097,0.515625,train
95,36.0,576,1.6085073947906494,0.4765625,train
96,37.0,583,1.493637204170227,0.4375,train
97,38.0,585,1.911208724975586,0.4032,val
98,39.0,590,1.3652291297912598,0.4609375,train
99,40.0,597,1.3823699951171875,0.5078125,train
100,41.0,604,1.4125282764434814,0.5078125,train
101,42.0,611,1.4684021472930908,0.4296875,train
102,43.0,618,1.5186824798583984,0.3828125,train
103,44.0,624,1.4081182956695557,0.4856,val
104,45.0,625,1.5982345342636108,0.3984375,train
105,46.0,632,1.4937198162078855,0.4296875,train
106,47.0,639,1.50103759765625,0.4296875,train
107,48.0,646,1.5978914499282837,0.3671875,train
108,49.0,653,1.5755014419555664,0.4296875,train
109,50.0,660,1.4590965509414673,0.4296875,train
110,51.0,663,1.7146819829940796,0.4138,val
111,52.0,667,1.648271560668945,0.4296875,train
112,53.0,674,1.384973645210266,0.5,train
113,54.0,681,1.579602837562561,0.3828125,train
114,55.0,688,1.3934664726257324,0.46875,train
