,Unnamed: 0,n_iter,loss,acc,dataset
0,0.0,8,10.682785034179688,0.15625,train
1,1.0,15,3.613204956054688,0.125,train
2,2.0,22,2.606775283813477,0.125,train
3,3.0,29,2.502093315124512,0.1171875,train
4,4.0,36,2.467463493347168,0.125,train
5,5.0,39,2.542573356628418,0.1134,val
6,6.0,43,2.3237318992614746,0.1171875,train
7,7.0,50,2.2876365184783936,0.125,train
8,8.0,57,2.4171531200408936,0.109375,train
9,9.0,64,2.290955781936645,0.1171875,train
10,10.0,71,2.326714515686035,0.1328125,train
11,11.0,78,2.285515069961548,0.125,train
12,12.0,78,2.3902571201324463,0.1182,val
13,13.0,85,2.2795398235321045,0.125,train
14,14.0,92,2.2863094806671143,0.15625,train
15,15.0,99,2.285115957260132,0.09375,train
16,16.0,106,2.274515390396118,0.1328125,train
17,17.0,113,2.283353328704834,0.1328125,train
18,18.0,117,2.2967700958251958,0.108,val
19,19.0,120,2.313170909881592,0.1171875,train
20,20.0,127,2.284860610961914,0.078125,train
21,21.0,134,2.2977538108825684,0.0546875,train
22,22.0,141,2.323883533477783,0.078125,train
23,23.0,148,2.2984538078308105,0.109375,train
24,24.0,155,2.276517629623413,0.1015625,train
25,25.0,156,2.289046049118042,0.1254,val
26,26.0,162,2.262073516845703,0.1875,train
27,27.0,169,2.287123918533325,0.109375,train
28,28.0,176,2.27428674697876,0.078125,train
29,29.0,183,2.296088457107544,0.1328125,train
30,30.0,190,2.262747287750244,0.15625,train
31,31.0,195,2.2797733306884767,0.1272,val
32,32.0,197,2.2743611335754395,0.0625,train
33,33.0,204,2.2735724449157715,0.109375,train
34,34.0,211,2.2547547817230225,0.109375,train
35,35.0,218,2.2924978733062744,0.1171875,train
36,36.0,225,2.276450634002685,0.1328125,train
37,37.0,232,2.2594475746154785,0.140625,train
38,38.0,234,2.275586891174316,0.1296,val
39,39.0,239,2.3036739826202397,0.1484375,train
40,40.0,246,2.2923572063446045,0.1015625,train
41,41.0,253,2.264373302459717,0.1171875,train
42,42.0,260,2.276960849761963,0.1328125,train
43,43.0,267,2.252784490585327,0.109375,train
44,44.0,273,2.227960538864136,0.154,val
45,45.0,274,2.239466905593872,0.0859375,train
46,46.0,281,2.20966911315918,0.109375,train
47,47.0,288,2.2395718097686768,0.1484375,train
48,48.0,295,2.2252042293548584,0.0859375,train
49,49.0,302,2.2034740447998047,0.1484375,train
50,50.0,309,2.2135400772094727,0.1328125,train
51,51.0,312,2.2969568252563475,0.1714,val
52,52.0,316,2.286541223526001,0.140625,train
53,53.0,323,2.142158508300781,0.15625,train
54,54.0,330,2.1315746307373047,0.171875,train
55,55.0,337,2.216877222061157,0.171875,train
56,56.0,344,2.172050714492798,0.171875,train
57,57.0,351,2.253368139266968,0.1328125,train
58,58.0,351,2.187339353561401,0.193,val
59,0.0,359,2.19783878326416,0.1640625,train
60,1.0,366,2.112502336502075,0.15625,train
61,2.0,373,2.0858154296875,0.140625,train
62,3.0,380,2.124249219894409,0.1796875,train
63,4.0,387,2.080169677734375,0.2109375,train
64,5.0,390,2.087967157363892,0.202,val
65,6.0,394,2.1030421257019043,0.234375,train
66,7.0,401,2.1676909923553467,0.1875,train
67,8.0,408,2.045574903488159,0.1875,train
