,n_iter,loss,acc,dataset
0,27,8.194708824157715,0.0,train
1,41,11.122201624370756,0.004952380952380952,val
2,53,6.954370021820068,0.015625,train
3,80,7.082101345062256,0.015625,train
4,82,7.213128203437442,0.005714285714285714,val
5,106,7.092811584472656,0.0,train
6,123,6.4889456658136275,0.008761904761904762,val
7,133,6.703484535217285,0.0,train
8,159,7.282920837402344,0.0,train
9,164,6.317242395310175,0.008380952380952381,val
10,186,6.087442398071289,0.03125,train
11,205,6.1989798318772085,0.008,val
12,212,6.055891990661621,0.0,train
13,238,6.1472578048706055,0.015625,train
14,246,6.140999044690814,0.006857142857142857,val
15,265,6.114874362945557,0.0,train
16,287,6.065559500739688,0.006095238095238095,val
17,291,6.187809944152832,0.0,train
18,318,6.140507698059082,0.0,train
19,328,6.040292399270194,0.011047619047619047,val
20,344,6.001431941986084,0.015625,train
21,369,5.9700895718165805,0.01219047619047619,val
22,371,6.066805839538574,0.0,train
23,397,5.855432510375977,0.03125,train
24,410,5.9128487677801225,0.01219047619047619,val
25,424,6.041991233825684,0.0,train
26,450,5.787010669708252,0.015625,train
27,451,5.880651769183931,0.011047619047619047,val
28,476,5.885526657104492,0.015625,train
29,492,5.823753958656674,0.016,val
30,503,5.758495807647705,0.0,train
31,529,5.938518524169922,0.0,train
32,533,5.8062630040305,0.016761904761904763,val
33,556,5.717483997344971,0.0,train
34,574,5.7512503692082,0.02019047619047619,val
35,582,5.796137809753418,0.0,train
36,609,5.7100982666015625,0.046875,train
37,615,5.713167849041167,0.02057142857142857,val
38,635,5.6017255783081055,0.046875,train
39,656,5.674400749660673,0.023238095238095238,val
40,661,5.582823753356934,0.046875,train
41,688,5.842608451843262,0.0,train
42,697,5.633918444315593,0.025142857142857144,val
43,714,5.495102405548096,0.03125,train
44,738,5.587768157323201,0.026285714285714287,val
45,741,5.518959999084473,0.015625,train
46,767,5.612678050994873,0.0,train
47,779,5.55231667700268,0.027047619047619046,val
48,794,5.611990451812744,0.0,train
49,820,5.681416034698486,0.0625,train
50,820,5.495324577604022,0.027428571428571427,val
51,847,5.657713890075684,0.015625,train
52,861,5.485958984919956,0.024,val
53,873,5.408136367797852,0.046875,train
54,899,5.395625114440918,0.0625,train
55,902,5.443281741369338,0.03314285714285714,val
56,926,5.464092254638672,0.03125,train
57,943,5.37319735118321,0.03276190476190476,val
58,952,5.763547897338867,0.015625,train
59,979,5.309720516204834,0.015625,train
60,984,5.317012412207467,0.039619047619047616,val
61,1005,5.393370628356934,0.046875,train
62,1025,5.283513784408569,0.0380952380952381,val
63,1032,5.634429931640625,0.03125,train
64,1058,5.356211185455322,0.046875,train
65,1066,5.251847142264957,0.037333333333333336,val
66,1085,5.4215312004089355,0.03125,train
67,1107,5.314692735671997,0.04,val
68,1111,5.206540584564209,0.09375,train
69,1137,5.3616485595703125,0.03125,train
70,1148,5.187803540910993,0.049523809523809526,val
