,n_iter,loss,acc,dataset
0,8,2.3042514324188232,0.0859375,train
1,15,2.266674041748047,0.125,train
2,22,2.252382516860962,0.1640625,train
3,29,2.286811113357544,0.15625,train
4,36,2.24216890335083,0.1484375,train
5,39,2.390045642852783,0.1256,val
6,43,2.246555805206299,0.171875,train
7,50,2.2016358375549316,0.1875,train
8,57,2.186490535736084,0.1328125,train
9,64,2.176384449005127,0.1875,train
10,71,2.179741859436035,0.1796875,train
11,78,2.131232261657715,0.171875,train
12,78,2.141686534881592,0.182,val
13,85,2.1158037185668945,0.2421875,train
14,92,2.0628421306610107,0.15625,train
15,99,2.130274534225464,0.203125,train
16,106,2.1535933017730713,0.1328125,train
17,113,2.1023709774017334,0.15625,train
18,117,2.0311259269714355,0.1992,val
19,120,2.2112417221069336,0.140625,train
20,127,2.03764271736145,0.1875,train
21,134,2.0191738605499268,0.15625,train
22,141,1.9678374528884888,0.265625,train
23,148,1.9871951341629028,0.21875,train
24,155,1.9864540100097656,0.1796875,train
25,156,1.9796000480651856,0.2078,val
26,162,1.943911075592041,0.2265625,train
27,169,1.8458726406097412,0.3046875,train
28,176,2.027473211288452,0.2265625,train
29,183,2.0032942295074463,0.2421875,train
30,190,1.8283288478851318,0.3046875,train
31,195,1.905825400352478,0.2614,val
32,197,1.9231774806976318,0.234375,train
33,204,1.8742221593856812,0.2578125,train
34,211,1.9439955949783325,0.3046875,train
35,218,1.763563871383667,0.34375,train
36,225,1.8710380792617798,0.25,train
37,232,1.78390634059906,0.328125,train
38,234,1.939653182029724,0.256,val
39,239,1.8492364883422852,0.25,train
40,246,1.8024492263793945,0.25,train
41,253,1.8883907794952393,0.28125,train
42,260,1.8956514596939087,0.2578125,train
43,267,1.7127131223678589,0.3515625,train
44,273,1.76852867603302,0.3176,val
45,274,1.7834593057632446,0.3359375,train
46,281,1.801606297492981,0.2734375,train
47,288,1.7035706043243408,0.3515625,train
48,295,1.8981609344482422,0.234375,train
49,302,1.681549310684204,0.3671875,train
50,309,1.7107300758361816,0.3671875,train
51,312,1.8750900983810426,0.2948,val
52,316,1.676024079322815,0.359375,train
53,323,1.621330976486206,0.3046875,train
54,330,1.720811367034912,0.296875,train
55,337,1.664265513420105,0.3203125,train
56,344,1.6848841905593872,0.3828125,train
57,351,1.7379403114318848,0.2265625,train
58,351,1.7287992238998413,0.3484,val
0,359,1.6392042636871338,0.421875,train
1,366,1.7163066864013672,0.3359375,train
2,373,1.7228991985321045,0.328125,train
3,380,1.7646045684814453,0.3203125,train
4,387,1.6401100158691406,0.390625,train
5,390,1.6231621742248534,0.3866,val
6,394,1.5808700323104858,0.34375,train
7,401,1.5443427562713623,0.3828125,train
8,408,1.775197148323059,0.359375,train
9,415,1.5272681713104248,0.4140625,train
10,422,1.4703972339630127,0.4296875,train
11,429,1.6378320455551147,0.296875,train
12,429,1.7116068363189698,0.3674,val
13,436,1.5580253601074219,0.4140625,train
