,n_iter,loss,acc,dataset
0,8,4.451555252075195,0.0859375,train
1,15,2.809626579284668,0.109375,train
2,22,2.8305466175079346,0.125,train
3,29,2.335371494293213,0.1875,train
4,36,2.743438959121704,0.1875,train
5,39,3.165829658508301,0.1352,val
6,43,2.6827707290649414,0.1171875,train
7,50,2.4280643463134766,0.15625,train
8,57,2.5181710720062256,0.1171875,train
9,64,2.833749294281006,0.1171875,train
10,71,2.447312831878662,0.1015625,train
11,78,2.6086747646331787,0.1640625,train
12,78,2.4983543395996093,0.135,val
13,85,2.3804121017456055,0.1484375,train
14,92,2.937485933303833,0.1875,train
15,99,2.2266857624053955,0.15625,train
16,106,2.501488208770752,0.1796875,train
17,113,2.3657822608947754,0.1953125,train
18,117,2.248749113082886,0.1876,val
19,120,2.405769109725952,0.1171875,train
20,127,2.1664419174194336,0.171875,train
21,134,2.2803432941436768,0.21875,train
22,141,2.1523330211639404,0.1484375,train
23,148,2.3724427223205566,0.1484375,train
24,155,2.203958034515381,0.203125,train
25,156,2.463376522064209,0.2006,val
26,162,2.3235695362091064,0.15625,train
27,169,2.2987053394317627,0.1484375,train
28,176,2.170684814453125,0.1328125,train
29,183,2.490065813064575,0.1328125,train
30,190,2.3854525089263916,0.2109375,train
31,195,2.333075189590454,0.1886,val
32,197,2.282172918319702,0.2421875,train
33,204,2.1586880683898926,0.2265625,train
34,211,2.5095760822296143,0.1875,train
35,218,2.0416946411132812,0.2421875,train
36,225,2.0322329998016357,0.2265625,train
37,232,2.3893418312072754,0.171875,train
38,234,2.4523775577545166,0.1832,val
39,239,2.3152968883514404,0.2109375,train
40,246,2.2249984741210938,0.2109375,train
41,253,2.3322606086730957,0.2109375,train
42,260,2.0912365913391113,0.25,train
43,267,2.0377719402313232,0.2109375,train
44,273,2.1867226123809815,0.227,val
45,274,2.056002140045166,0.25,train
46,281,2.001952886581421,0.28125,train
47,288,2.0196521282196045,0.3125,train
48,295,2.3694255352020264,0.25,train
49,302,2.210792064666748,0.1796875,train
50,309,2.1045405864715576,0.2265625,train
51,312,2.2864468574523924,0.2098,val
52,316,2.1543123722076416,0.1953125,train
53,323,2.2035443782806396,0.1640625,train
54,330,2.005268096923828,0.2109375,train
55,337,2.08172869682312,0.203125,train
56,344,2.0424001216888428,0.2109375,train
57,351,2.2881391048431396,0.1875,train
58,351,2.176562213897705,0.2078,val
0,359,2.8138701915740967,0.140625,train
1,366,2.3804116249084473,0.234375,train
2,373,2.2974538803100586,0.1953125,train
3,380,2.206758975982666,0.25,train
4,387,2.0901942253112793,0.1953125,train
5,390,2.1681785583496094,0.2206,val
6,394,2.057344913482666,0.2578125,train
7,401,2.042249917984009,0.2265625,train
8,408,2.0179443359375,0.21875,train
9,415,2.1371970176696777,0.203125,train
10,422,2.088850259780884,0.2734375,train
11,429,2.069837808609009,0.2421875,train
12,429,2.0912143707275392,0.2274,val
13,436,2.1551249027252197,0.25,train
14,443,1.9806468486785889,0.2890625,train
15,450,1.9789550304412842,0.2734375,train
16,457,3.096947431564331,0.1484375,train
17,464,3.2173025608062744,0.1328125,train
18,468,5.623687839508056,0.1044,val
19,471,2.94992733001709,0.109375,train
20,478,2.3612165451049805,0.15625,train
21,485,2.4477291107177734,0.1171875,train
22,492,2.5060577392578125,0.15625,train
23,499,2.5398004055023193,0.125,train
24,506,2.3966197967529297,0.09375,train
25,507,2.3026429653167724,0.1014,val
26,513,2.408602237701416,0.1328125,train
27,520,2.3348028659820557,0.0859375,train
28,527,2.2847788333892822,0.109375,train
29,534,2.2688043117523193,0.1015625,train
30,541,2.714488983154297,0.1015625,train
31,546,2.2985018253326417,0.1326,val
32,548,2.2765865325927734,0.09375,train
33,555,2.2760682106018066,0.171875,train
34,562,2.26322078704834,0.109375,train
35,569,2.462820291519165,0.0859375,train
