,n_iter,loss,acc,dataset
0,8,8.94329833984375,0.0859375,train
1,15,5.493783473968506,0.140625,train
2,22,2.9031496047973633,0.1484375,train
3,29,2.214336633682251,0.09375,train
4,36,2.5060973167419434,0.09375,train
5,39,3.078421640396118,0.1314,val
6,43,2.369140386581421,0.125,train
7,50,2.331700086593628,0.0859375,train
8,57,2.27380108833313,0.1015625,train
9,64,2.2831509113311768,0.1796875,train
10,71,2.30802845954895,0.09375,train
11,78,2.299402952194214,0.0859375,train
12,78,2.284798812866211,0.1286,val
13,85,2.2511653900146484,0.1875,train
14,92,2.2342612743377686,0.15625,train
15,99,2.27026629447937,0.0703125,train
16,106,2.2784006595611572,0.09375,train
17,113,2.2283763885498047,0.125,train
18,117,2.2417585372924806,0.1588,val
19,120,2.2008588314056396,0.15625,train
20,127,2.2948713302612305,0.1015625,train
21,134,2.2324254512786865,0.1328125,train
22,141,2.2337913513183594,0.1796875,train
23,148,2.2018885612487793,0.15625,train
24,155,2.2345187664031982,0.171875,train
25,156,2.212793731689453,0.16,val
26,162,2.2024638652801514,0.1953125,train
27,169,2.2385263442993164,0.140625,train
28,176,2.126127243041992,0.109375,train
29,183,2.1342976093292236,0.1484375,train
30,190,2.1785449981689453,0.1171875,train
31,195,2.196442985534668,0.1668,val
32,197,2.085594654083252,0.140625,train
33,204,2.204106569290161,0.1171875,train
34,211,2.005239725112915,0.265625,train
35,218,2.0800271034240723,0.2265625,train
36,225,2.1219005584716797,0.203125,train
37,232,2.2577619552612305,0.1875,train
38,234,2.1011612892150877,0.1876,val
39,239,2.1899571418762207,0.15625,train
40,246,2.085209608078003,0.2265625,train
41,253,2.0973241329193115,0.1796875,train
42,260,1.9891406297683716,0.21875,train
43,267,2.0506703853607178,0.25,train
44,273,1.994431447982788,0.247,val
45,274,2.0129871368408203,0.2265625,train
46,281,2.057856798171997,0.1875,train
47,288,1.9365229606628418,0.2265625,train
48,295,2.050546169281006,0.265625,train
49,302,1.9897338151931763,0.2421875,train
50,309,1.8795245885849,0.265625,train
51,312,1.9808540344238281,0.248,val
52,316,2.0213096141815186,0.234375,train
53,323,2.052631378173828,0.2109375,train
54,330,1.9272480010986328,0.2578125,train
55,337,1.8940461874008179,0.265625,train
56,344,1.9502748250961304,0.2421875,train
57,351,1.886593222618103,0.2421875,train
58,351,1.947969913482666,0.2638,val
0,359,1.8706181049346924,0.3203125,train
1,366,2.0390427112579346,0.21875,train
2,373,1.923055648803711,0.2265625,train
3,380,1.8036774396896362,0.2578125,train
4,387,1.940322756767273,0.25,train
5,390,1.876956057548523,0.2872,val
6,394,1.902365803718567,0.265625,train
7,401,1.9217294454574585,0.28125,train
8,408,1.9516799449920654,0.234375,train
9,415,1.7856197357177734,0.2890625,train
10,422,1.8693040609359741,0.2890625,train
11,429,1.796895146369934,0.3125,train
12,429,1.8431173801422118,0.2962,val
13,436,1.7616386413574219,0.296875,train
14,443,1.89490807056427,0.28125,train
15,450,1.8485069274902344,0.2421875,train
16,457,1.963747262954712,0.203125,train
17,464,1.903799295425415,0.2421875,train
