,n_iter,loss,acc,dataset
0,8,2.3482825756073,0.0859375,train
1,15,2.314046621322632,0.15625,train
2,22,2.3755998611450195,0.1015625,train
3,29,2.3035476207733154,0.1328125,train
4,36,2.3148739337921143,0.0859375,train
5,39,13.674046897888184,0.1,val
6,43,2.354193925857544,0.0859375,train
7,50,2.378990411758423,0.0546875,train
8,57,2.3041861057281494,0.109375,train
9,64,2.348762273788452,0.09375,train
10,71,2.319371461868286,0.109375,train
11,78,2.304474353790283,0.125,train
12,78,2.3025833129882813,0.1164,val
13,85,2.2921664714813232,0.0703125,train
14,92,2.306088447570801,0.109375,train
15,99,2.3199963569641113,0.09375,train
16,106,2.309936046600342,0.109375,train
17,113,2.2198309898376465,0.171875,train
18,117,2.3045828342437744,0.1312,val
19,120,2.319662570953369,0.1015625,train
20,127,2.296143054962158,0.125,train
21,134,2.3146588802337646,0.09375,train
22,141,2.305966377258301,0.0859375,train
23,148,2.2439191341400146,0.1640625,train
24,155,2.289668321609497,0.125,train
25,156,2.3690366744995117,0.135,val
26,162,2.2655739784240723,0.1171875,train
27,169,2.277643918991089,0.1015625,train
28,176,2.300271987915039,0.109375,train
29,183,2.248985528945923,0.140625,train
30,190,2.267893075942993,0.1484375,train
31,195,2.2793787002563475,0.1242,val
32,197,2.2825801372528076,0.140625,train
33,204,2.240722417831421,0.1484375,train
34,211,2.2794277667999268,0.125,train
35,218,2.3007147312164307,0.1484375,train
36,225,2.228508472442627,0.1953125,train
37,232,2.2711684703826904,0.1328125,train
38,234,2.2927109241485595,0.1222,val
39,239,2.251436710357666,0.125,train
40,246,2.2500696182250977,0.15625,train
41,253,2.227187156677246,0.203125,train
42,260,2.243720531463623,0.1796875,train
43,267,2.2586653232574463,0.1953125,train
44,273,2.215010643005371,0.1726,val
45,274,2.1846001148223877,0.1796875,train
46,281,2.205333709716797,0.15625,train
47,288,2.2237234115600586,0.140625,train
48,295,2.167842149734497,0.1484375,train
49,302,2.184844970703125,0.2109375,train
50,309,2.190124034881592,0.203125,train
51,312,2.1831333160400392,0.1752,val
52,316,2.124077081680298,0.171875,train
53,323,2.1733202934265137,0.15625,train
54,330,2.1493351459503174,0.2109375,train
55,337,2.1864845752716064,0.1953125,train
56,344,2.1679892539978027,0.1484375,train
57,351,2.118459701538086,0.1875,train
58,351,2.201060914993286,0.1518,val
0,359,2.1339199542999268,0.171875,train
1,366,2.1001172065734863,0.1953125,train
2,373,2.0307435989379883,0.2265625,train
3,380,2.185481309890747,0.15625,train
4,387,2.0711841583251953,0.2265625,train
5,390,3.074828004837036,0.1668,val
6,394,2.088028907775879,0.2109375,train
7,401,2.141389846801758,0.1953125,train
8,408,2.164661407470703,0.1640625,train
9,415,2.0776824951171875,0.2109375,train
10,422,2.0547072887420654,0.2265625,train
11,429,2.0234451293945312,0.2734375,train
12,429,2.1144604682922363,0.1858,val
13,436,2.0972938537597656,0.203125,train
14,443,2.0268349647521973,0.265625,train
15,450,2.1309545040130615,0.1953125,train
16,457,2.0769107341766357,0.21875,train
17,464,2.2019827365875244,0.1953125,train
18,468,2.157103443145752,0.1856,val
19,471,2.108567476272583,0.203125,train
20,478,2.1456973552703857,0.1796875,train
21,485,2.098762035369873,0.203125,train
22,492,2.1991539001464844,0.15625,train
23,499,2.1073901653289795,0.1875,train
24,506,2.04158353805542,0.265625,train
25,507,2.019613528251648,0.2312,val
26,513,1.903407335281372,0.25,train
27,520,2.137392997741699,0.140625,train
28,527,2.043654441833496,0.21875,train
29,534,1.9980030059814453,0.2734375,train
30,541,2.0813045501708984,0.2109375,train
31,546,1.9994544506072998,0.2458,val
32,548,2.0832927227020264,0.203125,train
33,555,2.0548572540283203,0.2265625,train
34,562,1.9158432483673096,0.234375,train
35,569,2.064969539642334,0.2421875,train
36,576,1.993327260017395,0.234375,train
37,583,2.051199436187744,0.171875,train
38,585,2.0106779098510743,0.2188,val
39,590,1.9745646715164185,0.234375,train
40,597,1.998258113861084,0.1953125,train
41,604,1.9451195001602173,0.265625,train
42,611,2.0585241317749023,0.1484375,train
43,618,2.0843868255615234,0.2109375,train
44,624,1.9794023275375365,0.2314,val
45,625,2.0048975944519043,0.203125,train
46,632,1.9211138486862183,0.2890625,train
47,639,2.1645145416259766,0.21875,train
48,646,2.0707509517669678,0.21875,train
49,653,1.9666612148284912,0.2578125,train
50,660,1.9664191007614136,0.1953125,train
51,663,1.9997418642044067,0.2316,val
52,667,1.904567003250122,0.2734375,train
53,674,1.9375802278518677,0.296875,train
54,681,1.9989067316055298,0.2265625,train
55,688,1.9908952713012695,0.1953125,train
56,695,1.967108130455017,0.1796875,train
57,702,1.9048703908920288,0.3203125,train
58,702,1.9364516973495483,0.2714,val
0,710,1.9698166847229004,0.21875,train
1,717,1.8962347507476807,0.265625,train
2,724,1.9189934730529785,0.234375,train
3,731,1.8383524417877197,0.3046875,train
4,738,2.0205469131469727,0.171875,train
5,741,1.9385204792022706,0.2582,val
6,745,1.989166021347046,0.2734375,train
7,752,1.8374449014663696,0.234375,train
8,759,1.9989986419677734,0.1875,train
9,766,1.9864534139633179,0.2421875,train
10,773,1.893157958984375,0.28125,train
11,780,1.922353982925415,0.1875,train
12,780,1.9912110328674317,0.2554,val
13,787,1.8445658683776855,0.3125,train
14,794,1.984127163887024,0.21875,train
15,801,1.9043678045272827,0.3125,train
16,808,1.896715760231018,0.2890625,train
17,815,1.9722148180007935,0.203125,train
18,819,1.8943839073181152,0.2902,val
19,822,1.8972442150115967,0.3125,train
20,829,1.9370765686035156,0.265625,train
21,836,1.9237264394760132,0.2578125,train
22,843,2.0451242923736572,0.1875,train
23,850,1.9399338960647583,0.1953125,train
24,857,1.8700076341629028,0.2734375,train
25,858,1.920660138130188,0.2722,val
26,864,1.9441457986831665,0.25,train
27,871,1.8499118089675903,0.2421875,train
28,878,1.9351441860198975,0.203125,train
29,885,1.86127769947052,0.28125,train
30,892,1.9184285402297974,0.265625,train
31,897,1.8531953334808349,0.2928,val
32,899,1.9644267559051514,0.234375,train
33,906,1.990397572517395,0.28125,train
34,913,1.8855396509170532,0.2890625,train
35,920,1.91042959690094,0.3046875,train
36,927,1.839781641960144,0.2421875,train
37,934,1.8323220014572144,0.3359375,train
38,936,1.8527644872665405,0.2816,val
39,941,1.8970599174499512,0.234375,train
40,948,2.013000965118408,0.234375,train
41,955,1.795760989189148,0.3359375,train
42,962,1.853679895401001,0.3359375,train
43,969,1.789548635482788,0.3125,train
44,975,1.8757797718048095,0.284,val
45,976,1.9017155170440674,0.3359375,train
46,983,1.9448659420013428,0.2421875,train
47,990,1.8154773712158203,0.3359375,train
48,997,1.8479905128479004,0.296875,train
49,1004,1.9182037115097046,0.265625,train
50,1011,1.7576773166656494,0.34375,train
51,1014,1.8015469312667847,0.3188,val
52,1018,1.7074906826019287,0.3125,train
53,1025,1.9650839567184448,0.21875,train
54,1032,1.7290061712265015,0.375,train
55,1039,1.8749849796295166,0.25,train
56,1046,1.9192430973052979,0.34375,train
57,1053,1.852001428604126,0.2578125,train
58,1053,1.8234542846679687,0.3166,val
0,1061,1.8019025325775146,0.359375,train
1,1068,1.8462177515029907,0.2578125,train
2,1075,1.6748216152191162,0.3671875,train
3,1082,1.8285661935806274,0.3203125,train
4,1089,1.7745203971862793,0.34375,train
5,1092,1.8040491342544556,0.3232,val
6,1096,1.7692643404006958,0.328125,train
7,1103,1.7476125955581665,0.3125,train
8,1110,1.8044397830963135,0.296875,train
9,1117,1.7135977745056152,0.3671875,train
10,1124,1.895574688911438,0.3203125,train
11,1131,1.789011836051941,0.296875,train
12,1131,1.7378159761428833,0.3388,val
13,1138,1.7545157670974731,0.34375,train
14,1145,1.795735478401184,0.34375,train
15,1152,1.8064706325531006,0.3125,train
